YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,water_l1,avg_water_l1
2017,4,5,10,41,52,1255.54,NULL
2017,4,5,10,56,52,1251.75,NULL
2017,4,5,11,11,51,1247.79,NULL
2017,4,5,11,28,6,1252.61,NULL
2017,4,5,11,41,50,1248.65,NULL
2017,4,5,11,58,0,1253.35,NULL
2017,4,5,12,11,51,1255.59,NULL
2017,4,5,12,28,30,1256.43,NULL
2017,4,5,12,41,55,1252.8,NULL
2017,4,5,12,58,6,1253.39,NULL
2017,4,5,13,11,53,1260.75,NULL
2017,4,5,13,26,53,1252.84,NULL
2017,4,5,13,41,52,1255.41,NULL
2017,4,5,13,56,52,1259.79,NULL
2017,4,5,14,13,1,1253.09,NULL
2017,4,5,14,44,18,1261.17,NULL
2017,4,5,14,56,52,1262.07,NULL
2017,4,5,15,14,2,1262.36,NULL
2017,4,5,15,30,53,1261.86,NULL
2017,4,5,15,47,11,1259.73,NULL
2017,4,5,15,56,57,1266.42,NULL
2017,4,5,16,13,4,1263.43,NULL
2017,4,5,16,26,55,1261.02,NULL
2017,4,5,16,43,27,1266.35,NULL
2017,4,5,16,57,10,1257.98,NULL
2017,4,5,17,11,52,1257.38,NULL
2017,4,5,17,29,25,1252.26,NULL
2017,4,5,17,41,54,1250.25,NULL
2017,4,5,18,14,19,1247.85,NULL
2017,4,5,18,26,53,1247.44,NULL
2017,4,5,18,41,51,1245.34,NULL
2017,4,5,19,11,53,1247.2,NULL
2017,4,5,19,26,52,1246.11,NULL
2017,4,5,19,44,15,1242.39,NULL
2017,4,5,19,56,50,1244.42,NULL
2017,4,5,20,13,1,1236.61,NULL
2017,4,5,20,26,52,1243,NULL
2017,4,5,20,41,52,1240.33,NULL
2017,4,5,20,58,31,1246.09,NULL
2017,4,5,21,11,51,1242.83,NULL
2017,4,5,21,28,30,1246.33,NULL
2017,4,5,21,41,52,1252.55,NULL
2017,4,5,21,58,52,1250.79,NULL
2017,4,5,22,11,53,1253.47,NULL
2017,4,5,22,26,51,1254.1,NULL
2017,4,5,22,43,2,1257.33,NULL
2017,4,5,22,56,52,1256.37,NULL
2017,4,5,23,11,51,1255.67,NULL
2017,4,5,23,28,2,1258.38,NULL
2017,4,5,23,41,54,1260.14,NULL
2017,4,6,0,11,52,1272.77,NULL
2017,4,6,0,28,31,1270.26,NULL
2017,4,6,0,46,4,1276.45,NULL
2017,4,6,1,2,14,1276.33,NULL
2017,4,6,1,11,52,1273.04,NULL
2017,4,6,1,28,10,1279.08,NULL
2017,4,6,1,41,51,1286.22,NULL
2017,4,6,1,56,51,1297.13,NULL
2017,4,6,2,13,4,1283.82,NULL
2017,4,6,2,26,52,1287.68,NULL
2017,4,6,2,41,51,1293.27,NULL
2017,4,6,2,58,3,1288.74,NULL
2017,4,6,3,11,51,1291.77,NULL
